Nume Utilizator,Scor Utilizator,Scor AI,Data,Ora
Cosmi,56,131,2025-01-07T13:24:46.6772727+02:00
Pufila,61,181,2025-01-07T13:35:13.5954460+02:00
Cosmi,82,91,2025-01-07T14:16:52.5350322+02:00
Cosmi,62,188,2025-01-07T14:19:57.3328879+02:00
Cosmi,57,213,2025-01-07T14:28:36.6947012+02:00
Cosmi,67,140,2025-01-07T15:17:56.0016565+02:00
Cosmin,65,212,2025-01-07T17:13:10.1119669+02:00
Cosmin,46,167,2025-01-07T17:14:26.1162601+02:00
Cosmin,60,224,2025-01-07T18:06:18.7027698+02:00
Cosmin,213,183,2025-01-08T17:58:05.1124138+02:00
Cosmin,170,26,2025-01-08T18:20:10.1313040+02:00
Cosmin,62,149,2025-01-08T18:26:47.6631707+02:00
Cosmin,42,54,2025-01-08T18:28:12.3884320+02:00
Cosmin,82,17,2025-01-08T19:47:11.5059998+02:00
Cosmin,66,45,,2025-01-08T20:47:16.7009126+02:00
Cosmin,47,148,,2025-01-08T20:49:51.6351113+02:00
Cosmin,63,49,,2025-01-08T21:08:08.4429934+02:00
Cosmin,18,40,Weak,2025-01-08T21:13:32.3048153+02:00
nina,188,161,Weak,2025-01-08T21:57:53.8650583+02:00
Cosmin,39,157,Weak,2025-01-08T22:00:19.0165006+02:00
Cosmin,30,244,Weak,2025-01-08T22:05:52.9190510+02:00
Cosmin,114,198,Weak,2025-01-08T22:15:21.8687228+02:00
Cosmin,41,202,Weak,2025-01-10T19:09:51.9752691+02:00
Anonim,68,149,Weak,2025-01-10T19:18:21.7165698+02:00
Anonim,53,129,Weak,2025-01-10T19:22:13.5234482+02:00
Cosmin,72,142,Medium,2025-01-10T19:27:31.0837008+02:00
Cosmin,110,56,Weak,2025-01-10T19:30:05.7471414+02:00
Cosmin,152,175,Medium,2025-01-10T19:39:12.0623047+02:00
Cosmin,97,196,Medium,2025-01-10T20:04:52.1888222+02:00
Cosmin,181,203,Medium,2025-01-10T20:28:46.0889804+02:00
nina,207,180,Medium,2025-01-10T22:08:45.6952471+02:00
nina,154,136,Medium,2025-01-10T22:24:34.0642220+02:00
Cosmin,243,199,Medium,2025-01-12T11:31:16.3819443+02:00
Cosmin,238,177,Medium,2025-01-14T18:21:22.6291997+02:00
nina,38,186,Medium,2025-01-14T18:58:03.8306761+02:00
